CustomerID,TotalAmount,Quantity,Cluster
14,256.2327913,5,3
42,502.6565234,7,1
49,21.39904723,1,0
59,249.492696,12,3
65,548.0066252,8,1
87,41.51590547,2,0
96,194.356816,4,0
98,166.9346467,6,3
100,710.0625762,8,1
101,364.9742948,9,1
135,25.83433213,1,0
165,181.9839348,4,0
169,457.1195323,7,1
190,119.7414498,4,0
202,145.6055967,2,0
211,293.0965945,5,3
213,340.4794469,4,3
223,155.7043112,6,3
227,348.2460943,8,3
230,242.1020243,4,3
232,102.9488437,4,0
238,40.39517637,4,0
243,280.9307299,6,3
248,65.84340225,6,3
280,88.62820957,3,0
284,241.7435562,4,3
289,229.8808494,6,3
290,301.86574,8,3
297,520.5968056,8,1
299,606.6971235999999,11,1
306,267.665442,3,0
315,137.1832086,4,0
319,347.5441797,5,3
327,676.4390942,8,1
345,392.8392331,9,1
352,176.7430055,5,3
360,307.6017959,8,3
382,69.62103281,3,0
393,99.08964269,4,0
399,109.7249415,5,3
402,48.18508029,1,0
415,66.12504916,3,0
417,65.51688989,3,0
442,421.41942066,7,1
474,288.8941216,6,3
475,554.7768083,6,1
514,285.4230248,5,3
520,249.873012,8,3
527,185.9614176,6,3
534,342.3247791,7,3
552,330.8429636,7,3
559,34.09503496,1,0
580,156.3773577,3,0
587,40.97817374,1,0
592,571.7079867,7,1
609,349.9852454,9,1
610,109.4544639,8,3
614,557.7748966,8,1
631,166.9333804,6,3
646,196.3257023,3,0
651,68.77268255,8,3
666,394.8584194,7,1
670,112.7046451,4,0
693,122.9336987,4,0
708,69.60258911,3,0
709,416.5401857,6,3
712,149.072887,4,0
730,185.9620483,3,0
736,151.0488534,3,0
737,266.8924833,8,3
743,117.7390525,2,0
744,239.6018409,4,3
754,271.0245573,3,0
762,393.2318981,9,1
766,146.5728527,2,0
779,86.14907415,1,0
780,224.5551909,3,0
783,404.5467937,8,1
802,266.0534903,4,3
805,142.4159538,9,3
838,248.7114766,4,3
845,495.9229396,8,1
847,155.268144,2,0
902,94.7314108,3,0
904,59.66523162,1,0
905,160.9693717,5,3
907,415.958306,5,3
911,479.2986632,7,1
926,248.04097,5,3
948,29.74638352,3,0
959,1176.3474024,14,2
960,247.7994053,4,3
966,292.8664938,6,3
968,158.5599548,4,0
969,107.6493372,9,3
975,242.2662475,10,3
976,315.7386757,8,3
985,48.97583684,1,0
994,104.049533,2,0
1001,41.70059044,1,0
1026,73.20205033,1,0
1041,635.7750028,8,1
1052,78.76129242,9,3
1054,72.62618499,3,0
1063,50.63871435,5,0
1064,559.7307801,9,1
1072,215.6081748,4,0
1084,363.0288532,4,3
1090,101.0351008,2,0
1100,295.647738,8,3
1101,16.04248262,1,0
1105,115.8996947,7,3
1112,57.7989264,4,0
1118,74.07891042,2,0
1148,82.01862836,5,0
1154,92.03442694,2,0
1163,12.33897937,1,0
1164,450.346651,6,1
1188,150.750972,6,3
1195,167.9598365,4,0
1201,26.60895867,1,0
1202,345.7333292,4,3
1206,243.643317,9,3
1207,578.2927831,8,1
1208,147.829605,2,0
1226,128.7932702,4,0
1236,296.329184,5,3
1252,252.9779096,7,3
